682	q25.3	155600000	160900000	gneg	19
683	q26	160900000	164400000	gpos50	19
684	q27	164400000	170899992	gneg	19
685	p22.3	0	2100000	gneg	20
686	p22.2	2100000	4500000	gpos25	20
687	p22.1	4500000	7200000	gneg	20
688	p21.3	7200000	13300000	gpos100	20
689	p21.2	13300000	15200000	gneg	20
690	p21.1	15200000	19500000	gpos100	20
691	p15.3	19500000	24900000	gneg	20
692	p15.2	24900000	28000000	gpos50	20
693	p15.1	28000000	31800000	gneg	20
694	p14.3	31800000	35600000	gpos75	20
695	p14.2	35600000	37500000	gneg	20
696	p14.1	37500000	43300000	gpos75	20
697	p13	43300000	46600000	gneg	20
698	p12.3	46600000	49800000	gpos75	20
699	p12.2	49800000	50900000	gneg	20
700	p12.1	50900000	53900000	gpos75	20
701	p11.2	53900000	57400000	gneg	20
702	p11.1	57400000	59100000	acen	20
703	q11.1	59100000	61100000	acen	20
704	q11.21	61100000	66100000	gneg	20
705	q11.22	66100000	71800000	gpos50	20
706	q11.23	71800000	77400000	gneg	20
707	q21.11	77400000	86200000	gpos100	20
708	q21.12	86200000	88000000	gneg	20
709	q21.13	88000000	90900000	gpos75	20
710	q21.2	90900000	92600000	gneg	20
711	q21.3	92600000	97900000	gpos75	20
712	q22.1	97900000	104400000	gneg	20
713	q22.2	104400000	105900000	gpos50	20
714	q22.3	105900000	107200000	gneg	20
715	q31.1	107200000	114400000	gpos75	20
716	q31.2	114400000	117200000	gneg	20
717	q31.31	117200000	120900000	gpos75	20
718	q31.32	120900000	123600000	gneg	20
719	q31.33	123600000	126900000	gpos75	20
720	q32.1	126900000	129000000	gneg	20
721	q32.2	129000000	130100000	gpos25	20
722	q32.3	130100000	132400000	gneg	20
723	q33	132400000	137300000	gpos50	20
724	q34	137300000	142800000	gneg	20
725	q35	142800000	147500000	gpos75	20
726	q36.1	147500000	152200000	gneg	20
727	q36.2	152200000	154700000	gpos25	20
728	q36.3	154700000	158821424	gneg	20
729	p23.3	0	2200000	gneg	21
730	p23.2	2200000	6200000	gpos75	21
731	p23.1	6200000	12700000	gneg	21
732	p22	12700000	19100000	gpos100	21
733	p21.3	19100000	23400000	gneg	21
734	p21.2	23400000	27400000	gpos50	21
735	p21.1	27400000	29700000	gneg	21
736	p12	29700000	38500000	gpos75	21
737	p11.23	38500000	39500000	gneg	21
738	p11.22	39500000	39900000	gpos25	21
739	p11.21	39900000	43200000	gneg	21
740	p11.1	43200000	45200000	acen	21
741	q11.1	45200000	48100000	acen	21
742	q11.21	48100000	50400000	gneg	21
743	q11.22	50400000	52800000	gpos75	21
744	q11.23	52800000	55600000	gneg	21
745	q12.1	55600000	61700000	gpos50	21
746	q12.2	61700000	62400000	gneg	21
747	q12.3	62400000	66100000	gpos50	21
748	q13.1	66100000	68100000	gneg	21
749	q13.2	68100000	70600000	gpos50	21
750	q13.3	70600000	74000000	gneg	21
751	q21.11	74000000	78500000	gpos100	21
752	q21.12	78500000	80300000	gneg	21
753	q21.13	80300000	84900000	gpos75	21
754	q21.2	84900000	87200000	gneg	21
755	q21.3	87200000	93500000	gpos100	21
756	q22.1	93500000	99100000	gneg	21
757	q22.2	99100000	101600000	gpos25	21
758	q22.3	101600000	106100000	gneg	21
759	q23.1	106100000	110600000	gpos75	21
760	q23.2	110600000	112200000	gneg	21
761	q23.3	112200000	117700000	gpos100	21
762	q24.11	117700000	119200000	gneg	21
763	q24.12	119200000	122500000	gpos50	21
